All,Wszystko
Products,Produkty
ID,ID
SKU,SKU
"Recently Compared Products (%1)","Ostatnio porównywane (%1)"
"Recently Viewed Products (%1)","Ostatnio oglądane (%1)"
"Add to Shopping Cart by SKU","Dodaj do koszyka po SKU"
"Add to Shopping Cart","Dodaj do koszyka"
"Wish List (%1)","Lista życzeń (%1)"
Apply,Zastosuj
Configure,Konfiguruj
"Add to Order by SKU","Dodaj do zamówienia po SKU"
"Add to Order","Dodaj do zamówienia"
"Add Products to Order","Dodaj produkty do zamówienia"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span>Produkty wymagające sprawdzenia: <span id=""sku-attention-num"">%1</span></span>"
"Remove All","Usuń wszystkie"
"Only %1%2%3 left in stock","Zostało tylko %1%2%3"
"You can buy up to %1 of these per purchase.","Maksymalna ilość do jednorazowego zakupu: %1."
"You must buy at least %1 of these per purchase.","Minimalna liczba sztuk to %1."
"Specify the product's options.","Określ opcje produktu."
"Alert me when this item is available.","Powiadom mnie, gdy ta pozycja będzie dostępna."
"We can't find this customer.","Nie możemy znaleźć tego klienta."
"Shopping cart management is disabled for this customer.","Zarządzanie koszykiem jest wyłączone dla tego klienta."
"We can't find this store.","Nie udało się znaleźć tego sklepu."
Customers,Klienci
"Shopping Cart",Koszyk
"Sorry, something went wrong. You can find out more in the error log.","Wystąpił błąd. Sprawdź dziennik błędów po więcej informacji."
"You do not have access to this.","Nie posiadasz dostępu do tej sekcji."
"Ordered item id is not received.","Nie otrzymano ID zamówionego produktu."
"Ordered item is not loaded.","Zamówiony produkt nie został załadowany."
"Quote item id is not received.","Nie otrzymano ID elementu zapytania."
"Quote item is not loaded.","Element zapytania nie jest załadowany."
"The wish list item id is not received.","Nie otrzymano ID pozycji listy życzeń."
"The wish list item is not loaded.","Nie udało się załadować pozycji listy życzeń."
"An error has occurred. See error log for details.","Wystąpił błąd. Sprawdź dziennik błędów, by uzyskać szczegółowe informacje."
"You cannot configure a product.","Nie możesz skonfigurować produktu."
"You removed the items.","Usunięto elementy."
"You removed the item.","Usunięto element."
"You added %1 to your shopping cart.","Dodałeś %1 do koszyka."
"You cannot add a product.","Nie możesz dodać produktu."
"Order by SKU","Sortuj po SKU"
"The SKU was not found in the catalog.","Produkt nie został znaleziony w katalogu."
"Availability: Out of stock.","Dostępność: brak."
"We don't have as many of these as you want.","Wymagana ilość nie jest dostępna."
"You can't add this many to your cart.","Nie można dodać takiej ilości do koszyka."
"You need to choose options for your item.","Musisz wybrać opcje produktu."
"We can't add the item to your cart.","Nie udało się dodać produktu do koszyka."
"Please enter an actual number in the ""Qty"" field.","Wpisz liczbę w pole „Ilość”."
"This product is assigned to another website.","Ten produkt jest przypisany do innej witryny."
"You can add only enabled products.","Możesz dodać tylko włączone produkty."
"You cannot upload this file.","Nie możesz wgrać tego pliku."
"The file is empty.","Plik jest pusty."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Nie podano żadnego SKU produktu. <a href=""%1"">Przejdź tutaj</a>, aby dodać produkt(y) po SKU."
"You have not entered a product SKU.","Nie podałeś SKU produktu."
"We can't add a product to cart by id ""%1"".","Nie udało się dodać do koszyka produktu o ID „%1”."
"Something went wrong while reordering this product.","Wystąpił problem podczas zmiany kolejności tego produktu."
"We can't find this wish list.","Nie udało się odnaleźć tej listy życzeń."
"You added %1 product to your shopping cart.","Produkty dodane do koszyka: %1."
"You added %1 products to your shopping cart.","Produkty dodane do koszyka: %1."
"%1 product requires your attention.","Produkty wymagające sprawdzenia: %1."
"%1 products require your attention.","Produkty wymagające sprawdzenia: %1."
"Yes, for Specified Customer Groups","Tak, dla określonych grup klientów"
"Yes, for Everyone","Tak, dla wszystkich"
No,Nie
"The file is corrupt.","Plik jest uszkodzony."
"Please upload the file in .csv format.","Proszę przesłać plik w formacie .csv"
"%1 item(s) need your attention.","Produkty wymagające sprawdzenia: %1."
"Apply Coupon Code","Zastosuj kod kuponu"
"Remove Coupon Code","Usuń kod kuponu"
Remove,Usuń
"The coupon code ""%1"" is not valid.","Kod kuponu ""%1"" nie jest prawidłowy."
"Shopping Cart Items","Produkty w koszyku"
Qty,Ilość
Subtotal,"Suma częściowa"
Discount,Zniżka
"Row Subtotal","Suma częściowa rzędu"
Action,Operacja
"No ordered items","Brak zamówionych przedmiotów"
"Total %1 product(s)","Produkty: %1"
Subtotal:,"Suma częściowa:"
"Please select","Proszę wybrać"
"Move to Wish List","Przenieś do listy życzeń"
"No item specified.","Nie wybrano produktu."
"Are you sure you want to remove this item?","Czy na pewno chcesz usunąć tę pozycję?"
"SKU number",SKU
"Upload File","Załaduj plik"
"Your csv file must include ""sku"" and ""qty"" columns.","Plik csv musi zawierać kolumny ""sku"" oraz ""qty""."
Reset,Resetuj
SKU:,SKU:
"Only <span id=""%1_max_allowed"">%2</span> in stock","Tylko <span id=""%1_max_allowed"">%2</span> szt. w magazynie"
Item,Produkt
"See price before order confirmation.","Zobacz cenę przed potwierdzeniem zamówienia."
"What's this?","Co to jest?"
"Incl. Tax","Z podatkiem"
"Excl. Tax","Bez podatku"
"Edit item parameters","Edytuj parametry elementu"
Edit,Zmień
"Remove item","Usuń produkt"
"Products Requiring Attention","Produkty wymagające uwagi"
"Add to Cart","Dodaj do koszyka"
Sku,SKU
File,Plik
"File extensions allowed: .csv","Dozwolone rozszerzenia plików: CSV"
"Add Row","Dodaj wiersz"
"Remove Row","Usuń wiersz"
"Add Products By SKU","Dodaj produktu po SKU"
"Shopping Cart Management","Zarządzaj koszykiem"
"View Shopping Cart","Zobacz koszyk"
"View and modify Shopping Cart","Wyświetl i modyfikuj koszyk"
"Order by SKU Settings","Sortuj po ustawieniach SKU"
"Enable Order by SKU on My Account in Storefront","Włącz zamówienia przez SKU w moje konto w Witryne sklepowej"
"Customer Groups","Grupy klientów"
"Apply Coupon","Zastosuj kupon"
"Order by SKU Description","Sortuj po opisie SKU"
"Display a Link to Loading a Spreadsheet","Wyświetl łącze do ładowania arkusza kalkulacyjnego"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Określa, czy łącze do Moje Konto &gt; Zamów przez SKU będzie wyświetlone na widżecie"
"Link Text","Tekst łącza"
"The text of the link to the My Account &gt; Order by SKU page","Łącze do Mojego Konta &gt; Zamów przez stronę SKU"
"Load a list of SKUs","Załaduj listę SKU"
"Order by SKU Template","Sortuj po szablonie SKU"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","Klasa %1 nie implementuje \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface"
"Sales Rule","Reguły sprzedaży"
"Index sales rule","Indeks reguł sprzedaży"
"Related Search Terms","Podobne zapytania"
"Add New Search Term","Dodaj nową frazę wyszukiwania"
button_label,button_label
"Missing search engine parameter.","Brakujący parametr wyszukiwarki."
"Successful! Test again?","Sukces! Powtórzyć test?"
"Connection failed! Test again?","Połączenie nie powiodło się! Powtórzyć test?"
"Enable Search Recommendations","Włącz rekomendacje wyszukiwania"
"When you enable this option your site may slow down.","Po włączeniu tej opcji strona może się spowolnić."
"Search Recommendations Count","Liczba podpowiedzi wyszukiwania"
"Show Results Count for Each Recommendation","Pokaż liczbę wyników dla każdej podpowiedzi"
"Enable Search Suggestions","Włącz podpowiedzi wyszukiwania"
"Search Suggestions Count","Liczba podpowiedzi wyszukiwania"
"Show Results Count for Each Suggestion","Pokaż liczbę wyników dla każdej podpowiedzi"
"Related search terms","Related search terms"
"Did you mean","Did you mean"
"Search Query","Fraza wyszukiwania"
Store,Sklep
Results,Rezultaty
Uses,Użyć
"Redirect URL","Przekierowanie URL"
"Suggested Term","Sugerowany termin"
Yes,Tak
"RPC call failed, connection timed out after %time_out.","Wywołanie RPC nie powiodło się, przekroczenie czasu połączenia %time_out."
"Message has been rejected: %1","Wiadomość została odrzucona: %1"
"Error while checking if topic is synchronous","Błąd podczas sprawdzania, czy temat jest synchroniczny"
"Subscription status","Status subskrypcji"
"Sorry, there has been an error processing your request. Please try again later.","Niestety, nastąpił błąd podczas przetwarzania Twojego żądania. Proszę spróbować ponownie później."
"Sorry, there was an error processing your registration request to Magento Analytics. Please try again later.","Przepraszamy wystąpił błąd przetwarzania żądania rejestracji do usługi Magento Analytics. Proszę spróbować ponownie później."
"Error occurred during postponement notification","Wystąpił błąd podczas odroczenia powiadomienia"
"Command was not found.","Nie znaleziono polecenia."
"There was an error save new configuration value.","Wystąpił błąd. Zapisz nową wartość konfiguracji."
"Please select a vertical.","Proszę wybrać pionowo."
"--Please Select--","-- Prosimy wybrać --"
"Cannot find predefined integration user!","Nie można znaleźć zdefiniowanego użytkownika!"
TestMessage,WiadomośćTestowa
"Error message","Komunikat błędu"
"Apps and Games","Aplikacje i gry"
"Athletic/Sporting Goods","Artykuły sportowe"
"Art and Design","Sztuka i projektowanie"
"Free Tier","Free Tier"
"An error occurred while subscription process.","Wystąpił błąd podczas procesu subskrypcji."
Analytics,Analityka
API,"Interfejs API"
Configuration,Konfiguracja
"BI Essential","BI podstawy"
"Basic Tier","Basic Tier"
"BI Essentials","BI Essentials"
General,Ogólne
"Send the system and transaction data to Magento Analytics service","Send the system and transaction data to Magento Analytics service"
Vertical,Pionowo
"Analytics Subscription","Subskrypcja usługi Analytics"
"Subscription Confirmation","Potwierdzenie subskrypcji"
Ok,Ok
"I agree with sending my system
                            configuration and transaction data to Magento Analytics.","Zgadzam się z wysyłaniem danych konfiguracji mojego systemu i transakcji do Magento Analytics."
Done,Gotowe
Retry,"Ponów próbę"
"'Action Details - #' .","'Szczegóły akcji - #'."
"%1 item(s) have been scheduled for update.""","%1 elementy zostały zaplanowane dla aktualizacji."""
"Bulk Actions Log","Masowe przetwarzanie"
"%1 item(s) are currently being updated.","%1 elementy są obecnie aktualizowane."
"Task ""%1"":","Zadanie ""%1"":"
"%1 item(s) have been scheduled for update.","%1 elementy zostały zaplanowane do aktualizacji.""."
"%1 item(s) have been successfully updated.","%1 elementy zostały pomyślnie zaktualizowane."
"%1 item(s) failed to update","elementy %1 nie powiodła się aktualizacja"
Details,Szczegóły
"View Details","Zobacz szczegóły"
Dismiss,Zignoruj
"Pending, in queue...","Oczekujące, w kolejce..."
"%1 items selected for mass update","%1 elementy wybrane do masowej aktualizacji"
", %1 successfully updated",", %1 pomyślnie zaktualizowano"
", %1 failed to update",", %1 nie udało się zaktualizować"
"Something went wrong.","Coś poszło nie tak."
"Action Log","Dziennik działań"
"Bulk Actions","Masowe przetwarzanie"
"Days Saved in Log","Dni, zapisane w dzienniku"
"Description of Operation","Opis operacji"
Summary,Podsumowanie
"Start Time","Czas rozpoczęcia"
"Items to Retry","Elementy do ponowienia"
"To retry, select the items and click “Retry”.","Aby ponowić próbę, zaznacz elementy i kliknij przycisk ""Ponów próbę""."
"Items That Can’t Be Updated.","Elementy, które nie mogą być aktualizowane."
Status,Status
"Meta Information",Metainformacje
Error,Błąd
"Dismiss All Completed Tasks","Odrzucić wszystkie zakończone zadania"
"Action Details - #","'Szczegóły akcji - #'"
"Number of Records Affected","Liczba rekordów, których dotyczy"
Banners,Banery
"Add Banner","Dodaj baner"
"Save Banner","Zapisz baner"
"Delete Banner","Usunąć baner"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"New Banner","Nowy baner"
Content,Zawartość
"Default Content","Domyślna zawartość"
"No Default Content","Brak domyślnej zawartości"
"Banner Default Content for All Store Views","Domyślna zawartość banera dla wszystkich widoków sklepu"
"Store View Specific Content","Określona zawartość widoku sklepu"
"Use Default","Użyj domyślnych"
"Related Promotions","Powiązane promocje"
Rule,Reguła
"Start Date","Data rozpoczęcia"
"End Date","Data zakończenia"
"Banner Properties","Właściwości banera"
"Banner Name","Nazwa banera"
Active,Aktywny
Inactive,Nieaktywny
"Applies To",Dotyczy
"Any Banner Type","Dowolny rodzaj baneru"
"Specified Banner Types","Określone rodzaje banerów"
"Specify Types","Określ rodzaje"
"Banner Information","Informacje o banerze"
Banner,Baner
"Banner Type","Rodzaj baneru"
Visibility,Widoczność
Delete,Usuń
"Are you sure you want to delete these banners?","Czy na pewno chcesz usunąć te banery?"
"Related Banners","Banery powiązane"
Position,Pozycja
"This rule no longer exists.","Ta reguła już nie istnieje."
"This banner does not exist.","Ten baner nie istnieje."
"You deleted the banner.","Banner został usunięty."
"Something went wrong while deleting banner data. Please review the action log and try again.","Coś się zepsuło podczas usuwania danych transparent. Proszę przejrzeć dziennik działań i spróbować ponownie poźniej."
"We cannot find a banner to delete.","Nie możemy znaleźć bannera do usunięcia."
"This banner no longer exists.","Ten baner już nie istnieje."
"Edit Banner","Edytuj baner"
"Please select a banner(s).","Proszę wybrać baner(y)."
"You deleted %1 record(s).","Usunięto %1 rekord(ów)."
"Something went wrong while mass-deleting banners. Please review the action log and try again.","Coś poszło nie tak podczas masowego usuwania banerów. Proszę przejrzeć dziennik działań i spróbuj ponownie."
"You saved the banner.","Banner został zapisany."
"We cannot save the banner.","Nie można zapisać bannera."
"Please enter a name.","Proszę wpisać nazwę."
"Please specify default content for at least one store view.","Podaj domyślną zawartość dla co najmniej jednego widoku sklepu."
"-- None --","-- Żaden --"
"Related Cart Price Rules","Powiązane reguły cenowe koszyka"
"Related Catalog Price Rules","Powiązane reguły cenowe katalogu"
"Content Area","Content Area"
Footer,Footer
Header,Header
"Left Column","Left Column"
"Right Column","Right Column"
"Manage Banners","Zarządzaj banerami"
"Banner Rotator","Karuzela banerów"
"Displays Specified or Promotion Banners","Wyświetla określone banery lub banery promocyjne"
"Banners to Display","Banery do wyświetlania"
"Specified Banners","Określone banery"
"Shopping Cart Promotions Related","Promocje powiązane z koszykiem"
"Catalog Promotions Related","Katalog promocji związanych z"
"Restrict by Banner Types","Ogranicz względem typów banerów"
"Rotation Mode","Tryb obracania"
"Display all instead of rotating","Wyświetlić wszystkie zamiast obracać"
"One at the time, Random","Jeden na raz, losowo"
"One at the time, Series","Jeden na raz, seria"
"One at the time, Shuffle","Jeden na raz, tasowanie"
"Specify Banners","Określ banery"
"Banner Block Template","Szablon bloku banera"
"Banner Inline Template","Wbudowany szablon banera"
Country,Kraj
"Allowed Credit Card Types","Dopuszczone rodzaje kart kredytowych"
"Add Rule","Dodaj regułę"
"Braintree Settlement Report","Raport dotyczący likwidacji Braintree"
"Sorry, but something went wrong","Przepraszamy, coś poszło nie tak"
"We can\'t initialize checkout.","Nie można zainicjować zamówienia."
"No authorization transaction to proceed capture.","Nie ma autoryzacji transakcji do kontynuowanie przechwytywania."
"Braintree error response.","Braintree błąd odpowiedzi."
"Payment method nonce can\'t be retrieved.","Odpowiedź metody płatności nie może być pobrany."
"Wrong transaction status","Zły stan transakcji"
Authorize,Autoryzujautoryzuj
"Authorize and Capture","Autoryzuj i przechwyć"
"Please agree to all the terms and conditions before placing the order.","Prosimy zatwierdzić warunki zamawiania przed jego złożeniem."
"Paypal account","Konto PayPal"
"Coinbase account","Coinbase konto"
"Europe bank account","Rachunek bankowy w Europie"
"Credit card","Karta kredytowa"
"Apple pay card","Apple pay card"
"Android pay card","Android pay card"
"Authorization expired","Autoryzacja wygasła"
Authorizing,Autoryzowanie
Authorized,Upoważniony
"Gateway rejected","Odrzucona brama"
Failed,Nieudane
"Processor declined","Procesor spadł"
Settled,Rozstrzygnięty
Settling,Rozliczanie
"Submitted for settlement","Przedstawione do rozstrzygnięcia"
Voided,Unieważniony
Unrecognized,Nierozpoznane
"Settlement declined","Rozliczenie spadła"
"Settlement pending","Rozliczenie czasu"
"Settlement confirmed","Rozliczenie potwierdzone"
Sale,Sprzedaż
Credit,Kredyt
"Credit Card Type","Rodzaj karty kredytowej"
"Credit Card Number","Numer karty kredytowej"
"Please, enter valid Credit Card Number","Wprowadź prawidłowy numer karty kredytowej"
"Expiration Date","Data ważności"
"Please, enter valid Expiration Date","Podaj prawidłową datę wygaśnięcia"
"Card Verification Number","Numer weryfikacyjny karty"
"Please, enter valid Card Verification Number","Wprowadź prawidłowy numer weryfikacyjny karty"
ending,końcówka
expires,wygasa
"Credit Card Information","Informacje karty kredytowej"
"What is this?","Co to jest?"
"Save for later use.","Zapisz do późniejszego wykorzystania."
"Place Order","Złóż zamówienie"
"This payment is not available","Ta płatność nie jest dostępna"
MM,MM
YY,YY
"Please try again with another form of payment.","Proszę spróbować ponownie z inną formę płatności."
"Sorry, but something went wrong.","Przepraszamy, coś poszło nie tak."
BraintreeTwo,BraintreeTwo
&nbsp;,&nbsp;
"Enable this Solution","Enable this Solution"
"Enable PayPal through Braintree","Włącz PayPal za pośrednictwem Braintree"
"Basic BraintreeTwo Settings","Podstawowe ustawienia BraintreeTwo"
Title,Tytuł
Environment,Środowisko
"Payment Action","Akcja płatności"
"Merchant ID","ID sprzedawcy"
"Public Key","Klucz publiczny"
"Private Key","Klucz prywatny"
"Advanced Braintree Settings","Ustawienia zaawansowane Braintree"
"Merchant Account ID","Identyfikator konta sprzedawcy"
"Advanced Fraud Protection","Zaawansowane zabezpieczenie przed oszustwem"
"Kount Merchant ID","Identyfikator sprzedawcy Kount"
Debug,"Tryb debug"
"CVV Verification","Weryfikacja CVV"
"Credit Card Types","Typy kart kredytowych"
"Sort Order","Kolejność sortowania"
"Country Specific Settings","Określone ustawienia kraju"
"Payment from Applicable Countries","Płatność ze stosownych krajów"
"Payment from Specific Countries","Płatność z wybranych krajów"
"Country Specific Credit Card Types","Rodzaj karty kredytowej kraju"
"PayPal through Braintree","PayPal za pośrednictwem Braintree"
"Override Merchant Name","Zastąp nazwę sprzedawcy"
"Require Customer's Billing Address","Wymagania Adres Rozliczeniowy Klienta"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Pozwala edytować adres dostawy podczas realizacji transakcji na stronie PayPal"
"Display on Shopping Cart","Wyświetl w koszyk"
"3D Secure Verification Settings","Ustawienia bezpiecznej weryfikacji 3D"
"3D Secure Verification","3D bezpieczna weryfikacja"
"Threshold Amount","Wysokość progu"
"Verify for Applicable Countries","Weryfikuj wyszczególnione kraje"
"Verify for Specific Countries","Weryfikuj wybrane kraje"
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Stosować filtry w celu uzyskania wyników. Wyświetlane są tylko pierwsze 100 rekordów w siatce, będzie można pobrać pełną wersję raportu w formacie .csv."
Select...,Wybierz...
"Transaction Type","Rodzaj transakcji"
"PayPal Payment ID","Identyfikator płatności PayPal"
"Transaction ID","ID transakcji"
"Order ID","ID zamówienia"
"Payment Type","Rodzaj płatności"
Type,Rodzaj
"Created At",Utworzono
Amount,Kwota
"Settlement Code","Rozliczenie kod"
"Settlement Response Text","Tekst odpowiedzi na rozliczenia"
"Refund Ids",Zwroty
"Settlement Batch ID","Partia Rozliczeń ID"
Currency,Waluta
"Unique constraint violation found","Unique constraint violation found"
"Add Selected Products","Dodaj wybrane produkty"
"Add Products to Option","Dodaj produkty do opcji"
Thumbnail,Miniatura
Name,Nazwa
"Edit Event","Edytuj wydarzenie"
"Add Event","Dodaj wydarzenie"
Events,Zdarzenia
"Add Catalog Event","Dodaj zdarzenie katalogu"
"Back to Category","Powrót do kategorii"
"Edit Catalog Event","Edytuj zdarzenie katalogu"
"Catalog Event Information","Informacje o zdarzeniu katalogu"
Category,Kategoria
Image,Obrazek
Upcoming,Nadchodzące
Open,Otwarty
Closed,Zamknięty
"Display Countdown Ticker On","Wyświetlanie odliczania"
"Category Page","Strona kategorii"
"Product Page","Strona produktu"
[GLOBAL],[GLOBALNY]
[WEBSITE],[WITRYNA]
"[STORE VIEW]","[WIDOK SKLEPU]"
"Coming Soon",Wkrótce
"Sale Ends In","Sprzedaż kończy się"
Catalog,Katalog
"You deleted the event.","Usunięto zdarzenie."
"New Event","Nowe zdarzenie"
"Default Values","Wartości domyślne"
"Something went wrong while saving this event.","Coś się zepsuło podczas zapisywania tego wydarzenia."
"We did not upload your image.","Nie przesłaliśmy twojego obrazu."
"You saved the event.","Zapisano zdarzenie."
"%1 is required.","%1 jest wymagane."
"Please make sure the end date follows the start date.","Upewnij się, że data końcowa następuje po dacie rozpoczęcia."
"Event for selected category","Zdarzenie dla wybranej kategorii"
"Lister Block","Blok listujący"
"This product is no longer on sale.","Ten produkt nie jest już w sprzedaży."
"Some of these products can no longer be sold.","Niektóre z tych produktów nie mogą być sprzedawane."
"Select Category","Wybierz kategorię"
"Use Default Value","Użyj wartości domyślnej"
Days,Dni
Hrs,godz
Mins,min
Sec,sek
"Preview Sale","Podgląd sprzedaży"
"Go To Sale","Przejdź do sprzedaży"
"View Sale","Zobacz sprzedaż"
Previous,Poprzedni
Next,Następne
"Catalog Events","Zdarzenia katalogu"
"Enable Catalog Events Functionality","Włącz funkcjonalność zdarzeń katalogu"
"Enable Catalog Event Widget on Storefront","Włącz widget wydarzeń katalogu na stronie"
"Number of Events to be Displayed in Event Slider Widget","Liczba zdarzeń, które mają być wyświetlane w przypadku widżetu karuzeli"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","Można zastąpić tę domyślną wartość w CMS zmienając zmienną limit=""x"". Pozostaw puste żeby usunąć ograniczenia."
"Events to Scroll per Click in Event Slider Widget","Ilość zdarzeń przesuwanych po kliknięciu w widżet karuzeli zdarzeń"
"You can override this default value in CMS using the limit=""x"" variable.","Można zastąpić tę domyślną wartość w CMS zmienając zmienną limit=""x""."
"Catalog Events Carousel","Karuzela zdarzeń katalogu"
"List all open Catalog Events as a Paginated Carousel","Lista wszystkich otwartych zdarzeń katalogów jako karuzela"
"Frame Size","Rozmiar ramki"
"Number of Items to display at once","Liczba elementów wyświetlanych na raz"
Scroll,Przewijanie
"Number of Items to scroll per click","Liczba elementów przewijanym po kliknięciu"
"Block Custom Width","Niestandardowa szerokość bloku"
"If empty, we'll automatically set the width value in pixels.","Jeśli puste, automatycznie ustawimy szerokość w pikselach."
"Catalog Events Carousel Default Template","Domyślny szablon karuzeli zdarzeń katalogu"
"Category ID","ID kategorii"
Start,Start
End,Koniec
"Countdown Ticker",Odliczanie
"New Permission","Nowe uprawnienie"
"You already have a permission with this scope.","Masz już uprawnienia z tego zakresu."
(Allow),(Zezwalaj)
(Deny),(Zabroń)
"Category Permissions","Uprawnienia do kategorii"
"Browsing Category","Przeglądanie kategorii"
"Display Product Prices","Wyświetlanie cen produktów"
"No, Redirect to Landing Page","Nie, przekieruj do strony docelowej"
"Permission with the same scope","Uprawnienie o tym samym zakresie"
"You may need more permissions to access this category.","Potrzebujesz uprawnień do dostępu do tej kategorii."
"You may need more permissions to access this product.","Potrzebujesz więcej uprawnień do dostępu do tego produktu."
"You cannot add ""%1"" to the cart.","Nie można dodać ""%1"" do koszyka."
"Permissions do not depend on store views.","Uprawnienia nie zależą od widoku sklepu."
Website,Witryna
"Customer Group","Grupa klienta"
"-- Please Select --","-- Prosimy wybrać --"
"All Websites","Wszystkie witryny"
"All Customer Groups","Wszystkie grupy klientów"
Allow,Zezwól
Deny,Zabroń
"Use parent","Użyj nadrzędnego"
"Category Permissions Section","Sekcja uprawnień kategorii"
Enable,Włącz
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red""> Ostrzeżenie!</strong> Domyślnie ta funkcja ogranicza wszystkie kategorie."
"Allow Browsing Category","Umożliwia przeglądanie kategorii"
"Landing Page","Strona docelowa"
"Allow Adding to Cart","Umożliwia dodawanie do koszyka"
"Disallow Catalog Search By","Zablokuj przeszukiwanie katalogów względem"
"Catalog Category Permissions","Uprawnienia do katalogu kategorii"
"Indexed permissions for categories","Indeksowane uprawnienia dla kategorii"
"Catalog Product Permissions","Uprawnienia do katalogu produktów"
"Indexed permissions for products","Indeksowane uprawnienia dla produktów"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Przyszła aktualizacja w tym okresie już istnieje. By dodać nową zmień przedział czasowy."
"Smth went to exception","Smth udał do wyjątków"
Priority,Priorytet
"Web Site",Witryna
"Scheduled Changes","Planowane zmiany"
Description,Opis
"Update Information","Aktualizacja informacji"
"Remove Catalog Price Rule from Update","Remove Catalog Price Rule from Update"
"Schedule Update","Schedule Update"
"Update Name","Update Name"
"Rule Information","Informacje o regule"
"Rule Name","Nazwa reguły"
Websites,Witryny
Conditions,Warunki
Actions,Operacje
"Discount Amount",Zniżka
"Discard subsequent rules","Odrzuć kolejne reguły"
"Save as a New Update","Zapisz jako nową aktaulizację"
"Move to Another Update","Move to Another Update"
"Delete the Update","Usuń aktualizację"
"The catalog price rule will be removed from the update and all scheduled changes will be lost.","The catalog price rule will be removed from the update and all scheduled changes will be lost."
200,200
100,100
50,50
30,30
20,20
"End Time","Czas zakończenia"
"Catalog Price Rules","Reguły cenowe katalogu"
"Remove Catalog Price Rule from Campaign","Usuń regułę ceny z kampanii"
"Attribute ""%1"" is required.","Cecha %1 jest wymagana"
Enabled,Włączone
Disabled,Wyłączone
"Unable to save product","Nie można zapisać produktu"
"The image cannot be removed as it has been assigned to the other image role","Obraz nie może zostać usunięty, ponieważ został przypisany do roli innego obrazu"
"Could not save Prices.","Nie można zapisać cen."
"Invalid attribute %fieldName = %fieldValue.","Invalid attribute %fieldName = %fieldValue."
"The requested price is not found.","The requested price is not found."
"Could not delete Prices","Could not delete Prices"
"Update %1 from %2 to %3.","Aktualizacja %1 z %2 do %3."
Design,Wygląd
View/Edit,Wyświetl/Edytuj
Preview,Podgląd
"Set Product as New","Ustaw produkt jako nowy"
"Store View:","Widok sklepu:"
"Stores Configuration","Konfiguracja sklepów"
"Enable Category","Włącz kategorię"
"Include in Menu","Uwzględnij w menu"
"Category Name","Nazwa kategorii"
"Category Image","Obraz kategorii"
"Add CMS Block","Dodaj blok CMS"
"Display Settings",Wyświetlanie
Anchor,"Zakotwiczona (wyświetla filtry atrybutów)"
"Sort Products By","Sortuj produkty wg"
